<LINE 1>
Injongo	i[NPrePre9]-n[BPre9]-jongo[NStem]
umantyi	u[NPrePre1a]-mantyi[NStem]
uyakulungisa	u[SC1]-yaku[Fut]-lungis[VRoot]-a[VerbTerm]
isaziso	i[NPrePre7]-si[BPre7]-aziso[NStem]
sokuxelela	sa[PossConc7]-u[NPrePre15]-ku[BPre15]-xelel[VRoot]-a[VerbTerm]
umxhaphazi	u[NPrePre1]-m[BPre1]-xhaphazi[NStem]
ngomyalelo	nga[AdvPre]-u[NPrePre3]-m[BPre3]-yalelo[NStem]
wokukhusela	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-khusel[VRoot]-a[VerbTerm]
ukuxhatshazwa	u[NPrePre15]-ku[BPre15]-xhaphaz[VRoot]-w[PassExt]-a[VerbTerm]
kwanokuba	kwa[AdvPre]-na[AdvPre]-ukuba[Conj]
aye	a[SC1]-y[VRoot]-e[VerbTerm]
nini	nini[Adv]
enkundleni	e[LocPre]-i[NPrePre9]-n[BPre9]-kundla[NStem]-ini[LocSuf]
.	.[Punc]
<LINE 1368>
Emva	e[LocPre]-u[NPrePre3]-m[BPre3]-va[NStem]
kokuvela	kwa[PossConc15]-u[NPrePre15]-ku[BPre15]-vel[VRoot]-a[VerbTerm]
enkundleni	e[LocPre]-i[NPrePre9]-n[BPre9]-kundla[NStem]-ini[LocSuf]
,	,[Punc]
umantyi	u[NPrePre1a]-mantyi[NStem]
angawunika	a[SC1]-nga[Pot]-wu[OC3]-nik[VRoot]-a[VerbTerm]
umyalelo	u[NPrePre3]-m[BPre3]-yalelo[NStem]
wokukhusela	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-khusel[VRoot]-a[VerbTerm]
ukuxhatshazwa	u[NPrePre15]-ku[BPre15]-xhaphaz[VRoot]-w[PassExt]-a[VerbTerm]
.	.[Punc]
<LINE 1369>
Kutheni	ku[CopPre]-th[VRoot]-e[VerbTerm]-ni[Interrog]
kufanele	ku[SCIndef]-fanel[VRoot]-e[VerbTerm]
ubhalise	u[SC1]-bhal[VRoot]-is[CausExt]-e[VerbTerm]
?	?[Punc]
<LINE 1370>
Ukuze	ukuze[Conj]
wenze	u[SC2ps]-enz[VRoot]-e[VerbTerm]
umsebenzi	u[NPrePre3]-m[BPre3]-sebenzi[NStem]
wezifundo	wa[PossConc3]-i[NPrePre8]-zi[BPre8]-fundo[NStem]
zoqeqesho	za[PossConc8]-u[NPrePre11]-lu[BPre11]-qeqesho[NStem]
<LINE 1371>
Ukuze	ukuze[Conj]
usebenzise	u[SC2ps]-sebenz[VRoot]-is[CausExt]-e[VerbTerm]
igama	i[NPrePre5]-li[BPre5]-gama[NStem]
eligunyazisiweyo	eli[RelConc5]-gunyaz[VRoot]-is[CausExt]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
kunye	kunye[Conj]
netayitile	na[AdvPre]-i[NPrePre9]-tayitile[NStem]
ethi	e[RelConc9]-th[VRoot]-i[VerbTerm]
'	'[Punc]
usosayensi	u[NPrePre1a]-sosayensi[NStem]
wezendalo	wa[PossConc1]-ezi[RelConc8]-za[PossConc8]-i[NPrePre9]-n[BPre9]-dalo[NStem]
'	'[Punc]
okanye	okanye[Conj]
ufake	u[SC2ps]-fak[VRoot]-e[VerbTerm]
isishunqulelo	i[NPrePre7]-si[BPre7]-shunqulelo[NStem]
esiqingqiweyo	esi[RelConc7]-qingq[VRoot]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
emva	e[LocPre]-u[NPrePre3]-m[BPre3]-va[NStem]
kwegama	kwa[PossConc15]-i[NPrePre5]-li[BPre5]-gama[NStem]
lakho	la[PossConc5]-kho[PossPron2ps]
(	([Punc]
umzekelo	u[NPrePre3]-m[BPre3]-zekelo[NStem]
,	,[Punc]
Pr.Sci.Nat	Pr.Sci.Nat[Abbr]
)	)[Punc]
<LINE 1372>
Ukuze	ukuze[Conj]
uqhube	u[SC2ps]-qhub[VRoot]-e[VerbTerm]
umsebenzi	u[NPrePre3]-m[BPre3]-sebenzi[NStem]
ngokwesikhundla	nga[AdvPre]-okwa[AdvPre]-i[NPrePre7]-si[BPre7]-khundla[NStem]
sokuba	sa[PossConc7]-ukuba[Conj]
yikhonsalthenti	y[CopPre]-i[NPrePre9]-khonsalthenti[NStem]
<LINE 1373>
Ukuze	ukuze[Conj]
uxhamle	u[SC2ps]-xhaml[VRoot]-e[VerbTerm]
ubume	u[NPrePre14]-bu[BPre14]-me[NStem]
bemfundo	ba[PossConc14]-i[NPrePre9]-n[BPre9]-fundo[NStem]
yoqeqesho	ya[PossConc9]-u[NPrePre11]-lu[BPre11]-qeqesho[NStem]
kwaye	kwaye[Conj]
ubandakanyeke	u[SC2ps]-bandakany[VRoot]-ek[NeutExt]-e[VerbTerm]
kwiinzuzo	ku[LocPre]-i[NPrePre10]-zin[BPre10]-zuzo[NStem]
ezinikwa	ezi[RelConc10]-nik[VRoot]-w[PassExt]-a[VerbTerm]
ngamaziko	nga[AdvPre]-a[NPrePre6]-ma[BPre6]-ziko[NStem]
ezemali	ezi[RelConc8]-za[PossConc8]-i[NPrePre9]-mali[NStem]
<LINE 1374>
Ukuze	ukuze[Conj]
uxhamle	u[SC2ps]-xhaml[VRoot]-e[VerbTerm]
ukuxhaswa	u[NPrePre15]-ku[BPre15]-xhas[VRoot]-w[PassExt]-a[VerbTerm]
yi-SACNASP	y[CopPre]-i[NPrePre1]-SACNASP[Abbr]
kunye	kunye[Conj]
nokuqinisekiswa	na[AdvPre]-u[NPrePre15]-ku[BPre15]-qinisek[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
okungakheth'icala	oku[RelConc15]-nga[NegExt]-kheth[VRoot]-i[NPrePre9]-cala[NStem]
kolwazi	kwa[PossConc15]-u[NPrePre11]-lu[BPre11]-azi[NStem]
nezakhono	na[AdvPre]-i[NPrePre8]-zi[BPre8]-akhono[NStem]
zakho	za[PossConc8]-kho[PossPron2ps]
<LINE 1375>
Ukuze	ukuze[Conj]
kukhuselwe	ku[SC15]-khusel[VRoot]-w[PassExt]-e[VerbTerm]
kwaye	kwaye[Conj]
komelezwe	ku[SC15]-omelez[VRoot]-w[PassExt]-e[VerbTerm]
ezi	ezi[Dem8][Pos1]
zifundo	zi[BPre8]-fundo[NStem]
zoqeqesho	za[PossConc10]-u[NPrePre11]-lu[BPre11]-qeqesho[NStem]
<LINE 1376>
Ziintoni	z[CopPre]-i[NPrePre10]-zin[BPre10]-to[NStem]-ni[Interrog]
ezifunekayo	ezi[RelConc10]-funek[VRoot]-a[VerbTerm]-yo[RelSuf]
ukuze	ukuze[Conj]
ubhaliswe	u[SC2ps]-bhal[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]
?	?[Punc]
<LINE 1377>
Ukuze	ukuze[Conj]
ubhalisele	u[SC2ps]-bhal[VRoot]-is[CausExt]-el[ApplExt]-e[VerbTerm]
ngusosayensi	ng[CopPre]-u[NPrePre1a]-sosayensi[NStem]
wezendalo	wa[PossConc1]-ezi[RelConc8]-za[PossConc8]-i[NPrePre9]-n[BPre9]-dalo[NStem]
oqeqeshiweyo	o[RelConc1]-qeqesh[VRoot]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
-	-[Punc]
kufuneka	ku[SCIndef]-funek[VRoot]-a[VerbTerm]
ubenesidanga	u[SC2ps]-be[VCop]-na[CopPre]-i[NPrePre7]-si[BPre7]-danga[NStem]
(	([Punc]
idigri	i[NPrePre9]-digri[NStem]
)	)[Punc]
seminyaka	sa[PossConc7]-i[NPrePre4]-mi[BPre4]-nyaka[NStem]
emine	emi[AdjPref4]-ne[AdjStem]
okanye	okanye[Conj]
idiploma	i[NPrePre9]-diploma[NStem]
yeminyaka	ya[PossConc9]-i[NPrePre4]-mi[BPre4]-nyaka[NStem]
emine	emi[AdjPref4]-ne[AdjStem]
,	,[Punc]
idibane	i[SC9]-diban[VRoot]-e[VerbTerm]
namava	na[AdvPre]-a[NPrePre6]-ma[BPre6]-va[NStem]
eminyaka	e[PossConc6]-i[NPrePre4]-mi[BPre4]-nyaka[NStem]
emithathu	emi[AdjPref4]-thathu[AdjStem]
<LINE 1378>
Ukuze	ukuze[Conj]
ubhalisele	u[SC1]-bhal[VRoot]-is[CausExt]-el[ApplExt]-e[VerbTerm]
ngusosayensi	ng[CopPre]-u[NPrePre1a]-sosayensi[NStem]
wezendalo	wa[PossConc1]-ezi[RelConc8]-za[PossConc8]-i[NPrePre9]-n[BPre9]-dalo[NStem]
ongumlingwa	o[RelConc1]-ng[CopPre]-u[NPrePre1]-m[BPre1]-lingwa[NStem]
-	-[Punc]
kufuneka	ku[SCIndef]-funek[VRoot]-a[VerbTerm]
ubenesidanga	u[SC1]-be[VCop]-na[AdvPre]-i[NPrePre7]-si[BPre7]-danga[NStem]
seminyaka	sa[PossConc7]-i[NPrePre4]-mi[BPre4]-nyaka[NStem]
emine	emi[AdjPref4]-ne[AdjStem]
okanye	okanye[Conj]
idiploma	i[NPrePre9]-diploma[NStem]
yeminyaka	ya[PossConc9]-i[NPrePre4]-mi[BPre4]-nyaka[NStem]
emine	emi[AdjPref4]-ne[AdjStem]
,	,[Punc]
ungabinamava	u[SC2ps]-nga[NegExt]-bi[VCop]-na[CopPre]-a[NPrePre6]-ma[BPre6]-va[NStem]
<LINE 1379>
Ukuze	ukuze[Conj]
ubhalisele	u[SC2ps]-bhal[VRoot]-is[CausExt]-el[ApplExt]-e[VerbTerm]
ngusosayensi	ng[CopPre]-u[NPrePre1a]-sosayensi[NStem]
wezendalo	wa[PossConc1]-ezi[RelConc8]-za[PossConc8]-i[NPrePre9]-n[BPre9]-dalo[NStem]
oqinisekisiweyo	o[RelConc1]-qinisek[VRoot]-is[CausExt]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
-	-[Punc]
kufuneka	ku[SCIndef]-funek[VRoot]-a[VerbTerm]
ubenesidanga	u[SC1]-be[VCop]-na[CopPre]-i[NPrePre7]-si[BPre7]-danga[NStem]
seminyaka	sa[PossConc7]-i[NPrePre4]-mi[BPre4]-nyaka[NStem]
emithathu	emi[AdjPref4]-thathu[AdjStem]
okanye	okanye[Conj]
idiploma	i[NPrePre9]-diploma[NStem]
yeminyaka	ya[PossConc9]-i[NPrePre4]-mi[BPre4]-nyaka[NStem]
emithathu	emi[AdjPref4]-thathu[AdjStem]
,	,[Punc]
ubenama	u[SC2ps]-be[VCop]-na[AdvPre]-a[NPrePre6]-ma[BPre6]
onyaka	a[PossConc6]-u[NPrePre3]-m[BPre3]-nyaka[NStem]
omnye	om[AdjPref1]-nye[AdjStem]
<LINE 1380>
Amacandelo	a[NPrePre6]-ma[BPre6]-candelo[NStem]
obhaliso	a[PossConc6]-u[NPrePre11]-lu[BPre11]-bhaliso[NStem]
ngala	nga[CopPre]-la[Dem6][Pos1]
alandelayo	a[RelConc6]-landel[VRoot]-a[VerbTerm]-yo[RelSuf]
:	:[Punc]
<LINE 1381>
USosayensi	u[NPrePre1a]-sosayensi[NStem]
wezeNdalo	wa[PossConc1]-ezi[RelConc8]-za[PossConc8]-i[NPrePre9]-n[BPre9]-dalo[NStem]
oQeqeshiweyo	o[RelConc1]-qeqesh[VRoot]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
,	,[Punc]
ekuthiwa	e[RelConc9]-ku[SCIndef]-th[VRoot]-iw[PassExt]-a[VerbTerm]
yi-Professional	y[CopPre]-i[NPrePre9]-Professional[Foreign]
Natural	Natural[Foreign]
Scientist	Scientist[Foreign]
(	([Punc]
Pr.Sci.Nat	Pr.Sci.Nat[Abbr]
)	)[Punc]
<LINE 1382>
USosayensi	u[NPrePre1a]-sosayensi[NStem]
wezeNdalo	wa[PossConc1]-ezi[RelConc8]-za[PossConc8]-i[NPrePre9]-n[BPre9]-dalo[NStem]
onguMlingwa	o[RelConc1]-ng[CopPre]-u[NPrePre1]-m[BPre1]-lingwa[NStem]
,	,[Punc]
ekuthiwa	e[RelConc9]-ku[SCIndef]-th[VRoot]-iw[PassExt]-a[VerbTerm]
yi-Candidate	y[CopPre]-i[NPrePre9]-Candidate[Foreign]
Natural	Natural[Foreign]
Scientist	Scientist[Foreign]
(	([Punc]
Cand.Sci.Nat	Cand.Sci.Nat[Abbr]
)	)[Punc]
<LINE 1383>
USosayensi	u[NPrePre1a]-sosayensi[NStem]
wezeNdalo	wa[PossConc1]-ezi[RelConc8]-za[PossConc8]-i[NPrePre9]-n[BPre9]-dalo[NStem]
oQinisekisiweyo	o[RelConc1]-qinisek[VRoot]-is[CausExt]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
,	,[Punc]
ekuthiwa	e[RelConc9]-ku[SCIndef]-th[VRoot]-iw[PassExt]-a[VerbTerm]
yi-Certificated	y[CopPre]-i[NPrePre9]-Certificated[Foreign]
Natural	Natural[Foreign]
Scientist	Scientist[Foreign]
(	([Punc]
Cert.Sci.Nat	Cert.Sci.Nat[Abbr]
)	)[Punc]
<LINE 1384>
Uphawu	u[NPrePre11]-lu[BPre11]-phawu[NStem]
okanye	okanye[Conj]
igama	i[NPrePre5]-li[BPre5]-gama[NStem]
lokwazisa	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-az[VRoot]-is[CausExt]-a[VerbTerm]
ngempahla	nga[AdvPre]-i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
okanye	okanye[Conj]
iinkonzo	i[NPrePre10]-zin[BPre10]-konzo[NStem]
(	([Punc]
i-trademark	i[NPrePre9]-trademark[Foreign]
)	)[Punc]
ligama	l[CopPre]-i[NPrePre5]-li[BPre5]-gama[NStem]
lohlobo	la[PossConc5]-u[NPrePre11]-lu[BPre11]-hlobo[NStem]
oluthille	olu[RelConc11]-th[VRoot]-ile[Perf]
(	([Punc]
i-brand	i[NPrePre9]-brand[Foreign]
)	)[Punc]
,	,[Punc]
intetho	i[NPrePre9]-n[BPre9]-tetho[NStem]
emfutshane	em[AdjPref9]-futshane[AdjStem]
yokwazisa	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-az[VRoot]-is[CausExt]-a[VerbTerm]
ngempahla	nga[AdvPre]-i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
okanye	okanye[Conj]
ngeenkonzo	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
ezithile	ezi[RelConc10]-th[VRoot]-ile[Perf]
(	([Punc]
i-slogan	i[NPrePre9]-slogan[Foreign]
)	)[Punc]
okanye	okanye[Conj]
uyilo	u[NPrePre11]-lu[BPre11]-yilo[NStem]
lophawu	lwa[PossConc11]-u[NPrePre11]-lu[BPre11]-phawu[NStem]
lokwazisa	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-az[VRoot]-is[CausExt]-a[VerbTerm]
ngempahla	nga[AdvPre]-i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
okanye	okanye[Conj]
ngeenkonzo	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
ezithile	ezi[RelConc10]-th[VRoot]-ile[Perf]
(	([Punc]
i-logo	i[NPrePre9]-logo[NStem]
)	)[Punc]
.	.[Punc]
<LINE 1385>
I-trade	i[NPrePre9]-trade[Foreign]
mark	mark[Foreign]
ichaza	i[SC9]-chaz[VRoot]-a[VerbTerm]
iinkonzo	i[NPrePre10]-zin[BPre10]-konzo[NStem]
okanye	okanye[Conj]
impahla	i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
zomntu	za[PossConc10]-u[NPrePre1]-m[BPre1]-ntu[NStem]
kwaye	kwaye[Conj]
yenza	i[SC4]-enz[VRoot]-a[VerbTerm]
zicace	zi[SC10]-cac[VRoot]-e[VerbTerm]
kwaye	kwaye[Conj]
zahluke	zi[OC10]-ahluk[VRoot]-e[VerbTerm]
kwimpahla	ku[LocPre]-i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
kunye	kunye[Conj]
neenkonzo	na[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
zomnye	za[PossConc10]-om[AdjPref1]-nye[AdjStem]
umntu	u[NPrePre1]-m[BPre1]-ntu[NStem]
.	.[Punc]
<LINE 1386>
Imizekelo	i[NPrePre4]-mi[BPre4]-zekelo[NStem]
ibandakanya	i[SC4]-bandakany[VRoot]-a[VerbTerm]
le	le[Dem4][Pos1]
ilandelayo	i[RelConc4]-landel[VRoot]-a[VerbTerm]-yo[RelSuf]
:	:[Punc]
<LINE 1387>
Igama	i[NPrePre5]-li[BPre5]-gama[NStem]
lohlobo	la[PossConc5]-u[NPrePre11]-lu[BPre11]-hlobo[NStem]
:	:[Punc]
Standard	Standard[Foreign]
Bank	Bank[Foreign]
<LINE 1388>
Intetho	i[NPrePre9]-n[BPre9]-tetho[NStem]
emfutshane	en[AdjPref9]-futshane[AdjStem]
yokwazisa	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-az[VRoot]-is[CausExt]-a[VerbTerm]
ngempahla	nga[AdvPre]-i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
okanye	okanye[Conj]
ngeenkonzo	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
:	:[Punc]
"	"[Punc]
Simpler	Simpler[Foreign]
,	,[Punc]
Better	Better[Foreign]
,	,[Punc]
Faster	Faster[Foreign]
"	"[Punc]
(	([Punc]
Standard	Standard[Foreign]
Bank	Bank[Foreign]
)	)[Punc]
<LINE 1389>
Uyilo	u[NPrePre11]-lu[BPre11]-yilo[NStem]
lophawu	lwa[PossConc11]-u[NPrePre11]-lu[BPre11]-phawu[NStem]
lokwazisa	lwa[PossConc5]-u[NPrePre15]-ku[BPre15]-az[VRoot]-is[CausExt]-a[VerbTerm]
ngempahla	nga[AdvPre]-i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
okanye	okanye[Conj]
ngeenkonzo	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
:	:[Punc]
uphawulo	u[NPrePre11]-lu[BPre11]-phawulo[NStem]
lwe-Nike	lwa[PossConc11]-i[NPrePre9]-Nike[ProperName]
olulolu	olu[RelConc11]-l[CopPre]-olu[Dem11][Pos1]
"	"[Punc]
v	v[Num]
"	"[Punc]
,	,[Punc]
okanye	okanye[Conj]
i-MacDonalds	i[NPrePre9]-MacDonalds[ProperName]
"	"[Punc]
M	M[Foreign]
"	"[Punc]
<LINE 1390>
Ulwakheko	u[NPrePre11]-lu[BPre11]-akheko[NStem]
olungqalileyo	olu[RelConc11]-ngqal[VRoot]-ile[Perf]-yo[RelSuf]
:	:[Punc]
Ibhotile	i[NPrePre9]-bhotile[NStem]
ye-Coca	ya[PossConc9]-i[NPrePre9]-Coca[ProperName]
Cola	Cola[ProperName]
<LINE 1391>
Ngoko	nga[AdvPre]-oko[Dem15][Pos2]
ke	ke[Conj]
,	,[Punc]
igama	i[NPrePre5]-li[BPre5]-gama[NStem]
lohlobo	la[PossConc5]-u[NPrePre11]-lu[BPre11]-hlobo[NStem]
(	([Punc]
i-brand	i[NPrePre9]-brand[Foreign]
name	name[Foreign]
)	)[Punc]
ligama	l[CopPre]-i[NPrePre5]-li[BPre5]-gama[NStem]
okanye	okanye[Conj]
intlanganisela	i[NPrePre9]-n[BPre9]-tlanganisela[NStem]
yamagama	ya[PossConc9]-a[NPrePre6]-ma[BPre6]-gama[NStem]
(	([Punc]
umzekelo	u[NPrePre3]-m[BPre3]-zekelo[NStem]
,	,[Punc]
Kentucky	Kentucky[ProperName]
Fried	Fried[Foreign]
Chicken	Chicken[Foreign]
)	)[Punc]
.	.[Punc]
<LINE 1392>
Intetho	i[NPrePre9]-n[BPre9]-tetho[NStem]
emfutshane	en[AdjPref9]-futshane[AdjStem]
yokwazisa	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-az[VRoot]-is[CausExt]-a[VerbTerm]
ngempahla	nga[AdvPre]-i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
okanye	okanye[Conj]
ngeenkonzo	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
(	([Punc]
i-slogan	i[NPrePre9]-slogan[Foreign]
)	)[Punc]
,	,[Punc]
libinzana	l[CopPre]-i[NPrePre5]-binza[NStem]-ana[DimSuf]
elifutshane	eli[AdjPref5]-futshane[AdjStem]
okanye	okanye[Conj]
isivakalisi	i[NPrePre7]-si[BPre7]-vakalisi[NStem]
esifutshane	esi[AdjPref7]-futshane[AdjStem]
kwaye	kwaye[Conj]
uyilo	u[NPrePre11]-lu[BPre11]-yilo[NStem]
lophawu	lwa[PossConc11]-u[NPrePre11]-lu[BPre11]-phawu[NStem]
lokwazisa	lwa[PossConc5]-u[NPrePre15]-ku[BPre15]-az[VRoot]-is[CausExt]-a[VerbTerm]
ngempahla	nga[AdvPre]-i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
okanye	okanye[Conj]
ngeenkonzo	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
(	([Punc]
i-logo	i[NPrePre9]-logo[NStem]
)	)[Punc]
ngumfanekiso	ng[CopPre]-u[NPrePre3]-m[BPre3]-fanekiso[NStem]
okanye	okanye[Conj]
uphawu	u[NPrePre11]-lu[BPre11]-phawu[NStem]
lokwahlula	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-ahlul[VRoot]-a[VerbTerm]
.	.[Punc]
<LINE 1393>
Ezi	ezi[Dem10][Pos1]
mpawu	m[BPre9]-pawu[NStem]
zinika	zi[SC10]-nik[VRoot]-a[VerbTerm]
ulwaziso	u[NPrePre11]-lu[BPre11]-aziso[NStem]
olwahlukileyo	olu[RelConc11]-ahluk[VRoot]-ile[Perf]-yo[RelSuf]
,	,[Punc]
kwintengiso	ku[LocPre]-i[NPrePre9]-n[BPre9]-tengiso[NStem]
,	,[Punc]
kwaye	kwaye[Conj]
zingasebenziseka	zi[SC10]-nga[Pot]-sebenz[VRoot]-is[CausExt]-ek[NeutExt]-a[VerbTerm]
kwiimveliso	ku[LocPre]-i[NPrePre10]-zim[BPre10]-veliso[NStem]
nakwiinkonzo	na[AdvPre]-ku[LocPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
.	.[Punc]
<LINE 1394>
Xa	xa[Conj]
uphawu	u[NPrePre11]-lu[BPre11]-phawu[NStem]
okanye	okanye[Conj]
igama	i[NPrePre5]-li[BPre5]-gama[NStem]
lokwazisa	la[PossConc5]-u[NPrePre15]-ku[BPre15]-az[VRoot]-is[CausExt]-a[VerbTerm]
ngempahla	nga[AdvPre]-i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
okanye	okanye[Conj]
iinkonzo	i[NPrePre10]-zin[BPre10]-konzo[NStem]
(	([Punc]
igama	i[NPrePre5]-li[BPre5]-gama[NStem]
lohlobo	la[PossConc5]-u[NPrePre11]-lu[BPre11]-hlobo[NStem]
,	,[Punc]
intetho	i[NPrePre9]-n[BPre9]-tetho[NStem]
emfutshane	en[AdjPref9]-futshane[AdjStem]
yokwazisa	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-az[VRoot]-is[CausExt]-a[VerbTerm]
ngempahla	nga[AdvPre]-i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
okanye	okanye[Conj]
ngeenkonzo	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
okanye	okanye[Conj]
uyilo	u[NPrePre11]-lu[BPre11]-yilo[NStem]
lophawu	lwa[PossConc11]-u[NPrePre11]-lu[BPre11]-phawu[NStem]
lokwazisa	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-az[VRoot]-is[CausExt]-a[VerbTerm]
ngempahla	nga[AdvPre]-i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
okanye	okanye[Conj]
ngeenkonzo	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
)	)[Punc]
,	,[Punc]
sele	sele[ExclPre]
libhalisiwe	li[OC5]-bhal[VRoot]-is[CausExt]-iw[PassExt]-e[VerbTerm]
,	,[Punc]
akukho	a[NegExt]-ku[CopPre]-kho[Adv]
mntu	m[BPre1]-ntu[NStem]
ongomnye	o[RelConc1]-nga[AdvPre]-om[AdjPref1]-nye[AdjStem]
ongasebenzisa	o[RelConc1]-nga[Pot]-sebenz[VRoot]-is[CausExt]-a[VerbTerm]
olu	olu[Dem11][Pos1]
phawu	phawu[NStem]
okanye	okanye[Conj]
eli	eli[Dem5][Pos1]
gama	gama[NStem]
okanye	okanye[Conj]
asebenzise	a[SC1]-sebenz[VRoot]-is[CausExt]-e[VerbTerm]
elifana	eli[RelConc5]-fan[VRoot]-a[VerbTerm]
nalo	na[AdvPre]-lo[Dem5][Pos2]
.	.[Punc]
<LINE 1395>
Ukuba	ukuba[Conj]
oku	oku[Dem15][Pos1]
kuyenzeka	ku[SC15]-ya[Pres]-enz[VRoot]-ek[NeutExt]-a[VerbTerm]
,	,[Punc]
kungalandela	ku[SC15]-nga[Pot]-landel[VRoot]-a[VerbTerm]
amanyathelo	a[NPrePre6]-ma[BPre6]-nyathelo[NStem]
asemthethweni	a[SC6]-s[PreLoc-s]-e[LocPre]-u[NPrePre3]-m[BPre3]-thetho[NStem]-ini[LocSuf]
.	.[Punc]
<LINE 1396>
Kukhe	ku[CopPre]-khe[AuxVStem]
kwakho	ku[SC15]-a[Past]-kho[Adv]
amatyala	a[NPrePre6]-ma[BPre6]-tyala[NStem]
akwizinga	a[RelConc6]-ku[LocPre]-i[NPrePre5]-li[BPre5]-zinga[NStem]
eliphakamileyo	eli[RelConc5]-phakam[VRoot]-ile[Perf]-yo[RelSuf]
eMzantsi	e[LocPre]-Mzantsi[ProperName]
Afrika	Afrika[ProperName]
afana	a[RelConc6]-fan[VRoot]-a[VerbTerm]
naxa	na[AdvPre]-xa[Conj]
i-MacDonalds	i[NPrePre9]-MacDonalds[ProperName]
(	([Punc]
USA	USA[Abbr]
)	)[Punc]
yathi	i[SC9]-a[Past]-th[VRoot]-i[VerbTerm]
yamangalela	i[SC9]-a[Past]-mangal[VRoot]-el[ApplExt]-a[VerbTerm]
umthengisi	u[NPrePre1]-m[BPre1]-thengisi[NStem]
wokutya	wa[PossConc1]-u[NPrePre15]-ku[BPre15]-tya[NStem]
okuphekwa	oku[RelConc15]-phek[VRoot]-w[PassExt]-a[VerbTerm]
ngokukhawuleza	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-khawulez[VRoot]-a[VerbTerm]
eMzantsi	e[LocPre]-Mzantsi[ProperName]
Afrika	Afrika[ProperName]
owayesebenzisa	o[RelConc1]-u[SC1]-a[Past]-(y)e[SC1]-sebenz[VRoot]-is[CausExt]-a[VerbTerm]
uphawu	u[NPrePre11]-lu[BPre11]-phawu[NStem]
olufana	olu[RelConc11]-fan[VRoot]-a[VerbTerm]
nolo-MacDonalds	na[AdvPre]-olo[Dem11][Pos2]-MacDonalds[ProperName]
elino	eli[RelConc5]-no[AdvPre]
"	"[Punc]
